Capability,<<REDACTED>>,<<REDACTED>>,<<REDACTED>>,<<REDACTED>>,<<REDACTED>>,<<REDACTED>>,<<REDACTED>>,<<REDACTED>>
client-data.ec-version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client-data.kt-version,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
client-data.nicknames-version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client-data.optionally-receive-typing-indicators,T,T,T,T,T,T,T,T
client-data.prefers-sdr,F,1.0,F,F,F,F,1.0,F
client-data.public-message-identity-ngm-version,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
client-data.public-message-identity-version,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
client-data.sender-key-message-version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client-data.show-peer-errors,T,T,n/a,T,n/a,T,T,T
client-data.supports-ack-v1,T,T,T,T,T,T,T,T
client-data.supports-activity-sharing-v1,T,T,n/a,T,n/a,n/a,T,T
client-data.supports-animoji-v2,T,T,T,T,T,T,T,T
client-data.supports-aot,T,T,T,T,n/a,T,T,T
client-data.supports-askto,T,T,T,T,T,T,T,T
client-data.supports-askto-responseUI,T,n/a,T,T,n/a,T,n/a,T
client-data.supports-askto-v2,T,n/a,T,T,n/a,T,n/a,T
client-data.supports-audio-messaging-v2,T,T,T,T,T,T,T,T
client-data.supports-autoloopvideo-v1,T,T,T,T,T,T,T,T
client-data.supports-be-v1,T,T,T,T,T,T,T,T
client-data.supports-ca-v1,T,T,T,T,T,T,T,T
client-data.supports-certified-delivery-v1,T,T,T,T,T,T,T,T
client-data.supports-cross-platform-sharing,T,T,T,T,T,T,T,T
client-data.supports-dq-nr,T,T,T,T,T,T,T,T
client-data.supports-emoji-images,T,T,T,T,T,T,T,T
client-data.supports-emoji-stickers,T,T,T,T,T,T,T,T
client-data.supports-emoji-tapbacks,T,T,T,T,T,T,T,T
client-data.supports-family-invite-message-bubble,T,n/a,n/a,T,n/a,T,n/a,T
client-data.supports-findmy-plugin-messages,T,T,T,T,T,T,T,T
client-data.supports-fsm-v1,T,T,T,T,T,T,T,T
client-data.supports-fsm-v2,T,T,T,T,T,T,T,T
client-data.supports-fsm-v3,T,T,T,T,T,T,T,T
client-data.supports-group-apple-cash,T,T,T,T,n/a,T,T,T
client-data.supports-group-photo-refresh-version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client-data.supports-gti,T,T,T,T,n/a,T,T,T
client-data.supports-hdr,T,F,T,T,T,T,F,T
client-data.supports-heif,T,T,T,T,T,T,T,T
client-data.supports-high-quality-photo-file-sizes,T,T,T,T,T,T,T,T
client-data.supports-hybrid-groups-v1,T,T,T,T,T,T,T,T
client-data.supports-ii-v1,T,T,T,T,T,T,T,T
client-data.supports-impact-v1,T,T,T,T,T,T,T,T
client-data.supports-inline-attachments,T,T,T,T,T,T,T,T
client-data.supports-introductions-v1,T,T,T,T,n/a,T,T,T
client-data.supports-keep-receipts,T,T,T,T,T,T,T,T
client-data.supports-live-delivery,T,n/a,n/a,T,n/a,T,n/a,T
client-data.supports-location-sharing,T,T,T,T,T,T,T,T
client-data.supports-lqm-hq,T,T,T,T,n/a,T,T,T
client-data.supports-media-v2,T,T,T,T,T,T,T,T
client-data.supports-original-timestamp-v1,T,T,T,T,T,T,T,T
client-data.supports-people-request-messages,T,T,T,T,T,T,T,T
client-data.supports-people-request-messages-v2,T,T,T,T,T,T,T,T
client-data.supports-people-request-messages-v3,T,T,T,T,T,T,T,T
client-data.supports-photos-extension-v1,T,T,T,T,T,T,T,T
client-data.supports-photos-extension-v2,T,T,T,T,T,T,T,T
client-data.supports-polls,T,T,T,T,n/a,T,T,T
client-data.supports-protobuf-payload-data-v2,T,T,T,T,T,T,T,T
client-data.supports-qta,T,T,T,T,T,T,T,T
client-data.supports-queue-one-read-receipts,n/a,T,T,n/a,n/a,n/a,n/a,n/a
client-data.supports-queue-one-read-receipts-v2,n/a,T,T,n/a,n/a,n/a,n/a,n/a
client-data.supports-queue-one-read-receipts-v3,T,n/a,n/a,T,n/a,T,T,T
client-data.supports-rbm-chatbot,T,T,T,T,T,T,T,T
client-data.supports-recovery-contact-upsell,T,n/a,n/a,T,n/a,T,n/a,T
client-data.supports-recurring-payment-bubbles,T,T,T,T,T,T,T,T
client-data.supports-rem,T,T,T,T,T,T,T,T
client-data.supports-sa-v1,T,T,T,T,T,T,T,T
client-data.supports-send-later-messages,T,n/a,T,T,T,T,n/a,T
client-data.supports-sender-key-self-check,T,T,n/a,T,n/a,T,T,T
client-data.supports-sender-key-v1,T,T,T,T,T,T,T,T
client-data.supports-significant-app-update,T,n/a,n/a,T,n/a,T,n/a,T
client-data.supports-sos-alerting,T,T,n/a,T,n/a,n/a,T,T
client-data.supports-st-v1,T,T,T,T,T,T,T,T
client-data.supports-stewie,T,n/a,n/a,T,n/a,n/a,n/a,T
client-data.supports-stick-moji-backs,T,T,T,T,T,T,T,T
client-data.supports-sticker-editing,T,T,T,T,T,T,T,T
client-data.supports-transcript-backgrounds,T,T,T,T,n/a,T,T,T
client-data.supports-update-attachments-v1,T,T,T,T,T,T,T,T
client-data.supports-uwb,T,T,n/a,T,n/a,n/a,T,T
client-data.supports-zelkova,T,T,T,T,T,T,T,T
session-token-refresh-seconds,25200,25200,25200,25200,25200,25200,25200,25200
